observed_at,reason,pool_max_open,pool_open,pool_in_use,pool_idle,pool_wait_count,pool_wait_duration_ms,in_flight_callbacks,stalled_in_flight,oldest_in_flight_age_ms,in_flight_current_phase
2026-08-23T09:46:43.065556863Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T09:47:18.065573349Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T09:47:48.066142888Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T09:48:23.065660279Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T09:48:58.065110266Z,periodic,32,6,4,2,0,0.000000,0,0,0.000000,
2026-08-23T09:49:28.065413746Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T09:50:03.06509617Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T09:50:33.065227728Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T09:51:03.066052307Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T09:51:38.066148296Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T09:52:13.065054468Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T09:52:43.065776961Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T09:53:13.065884275Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T09:53:48.065550503Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T09:54:23.065474559Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T09:54:58.065406908Z,periodic,32,6,3,3,0,0.000000,0,0,0.000000,
2026-08-23T09:55:28.066131386Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T09:56:03.06594055Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T09:56:38.06516568Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T09:57:08.066162927Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T09:57:43.065953785Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T09:58:18.066220507Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T09:58:53.065654992Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T09:59:28.065640512Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T09:59:58.065758433Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T10:00:33.065641092Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T10:01:03.066013698Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T10:01:38.06603181Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T10:02:13.066095467Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T10:02:48.065761067Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T10:03:18.06577028Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T10:03:53.065134182Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T10:04:28.065135534Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T10:05:03.065650339Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T10:05:38.066083028Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T10:06:13.065862092Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T10:06:48.065416528Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T10:07:23.065135265Z,periodic,32,4,1,3,0,0.000000,0,0,0.000000,
2026-08-23T10:07:58.065090262Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T10:08:28.066128093Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T10:09:03.066018996Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T10:09:38.065322087Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T10:10:13.065069301Z,periodic,32,6,4,2,0,0.000000,0,0,0.000000,
2026-08-23T10:10:43.065596981Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T10:11:13.066134659Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T10:11:48.065536596Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T10:12:18.065847038Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T10:12:48.065897787Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T10:13:23.065206152Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T10:13:53.065584076Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T10:14:23.065610002Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T10:14:53.066309179Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T10:15:28.06539322Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T10:15:58.065700262Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T10:16:28.065874569Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T10:16:58.066084155Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T10:17:33.065064456Z,periodic,32,7,6,1,0,0.000000,0,0,0.000000,
2026-08-23T10:18:03.065474562Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
