sequence,observed_at,business.blks_hit,business.blks_read,business.concurrency_detail_bytes,business.concurrency_detail_rows,business.expense_detail_bytes,business.expense_detail_rows,business.table.expense_detail.idx_scans,business.table.expense_detail.idx_tuples_fetched,business.table.expense_detail.live_tuples,business.table.expense_detail.seq_scans,business.table.expense_detail.seq_tuples_read,business.table.final_v5_concurrency_expense_detail.idx_scans,business.table.final_v5_concurrency_expense_detail.idx_tuples_fetched,business.table.final_v5_concurrency_expense_detail.live_tuples,business.table.final_v5_concurrency_expense_detail.seq_scans,business.table.final_v5_concurrency_expense_detail.seq_tuples_read,business.temp_bytes,business.xact_commit,control.activity_active,control.activity_audit_lock_waiters,control.activity_lock_waiters,control.activity_task_lock_waiters,control.approval_events,control.approval_events_bytes,control.audit_events,control.audit_events_bytes,control.audit_head_sequence,control.blks_hit,control.blks_read,control.callback_idempotency,control.callback_idempotency_bytes,control.deadlocks,control.locks_waiting,control.table.approval_events.idx_scans,control.table.approval_events.idx_tuples_fetched,control.table.approval_events.live_tuples,control.table.approval_events.seq_scans,control.table.approval_events.seq_tuples_read,control.table.audit_events.idx_scans,control.table.audit_events.idx_tuples_fetched,control.table.audit_events.live_tuples,control.table.audit_events.seq_scans,control.table.audit_events.seq_tuples_read,control.table.callback_idempotency.idx_scans,control.table.callback_idempotency.idx_tuples_fetched,control.table.callback_idempotency.live_tuples,control.table.callback_idempotency.seq_scans,control.table.callback_idempotency.seq_tuples_read,control.table.task_grants.idx_scans,control.table.task_grants.idx_tuples_fetched,control.table.task_grants.live_tuples,control.table.task_grants.seq_scans,control.table.task_grants.seq_tuples_read,control.table.tasks.idx_scans,control.table.tasks.idx_tuples_fetched,control.table.tasks.live_tuples,control.table.tasks.seq_scans,control.table.tasks.seq_tuples_read,control.task_grants,control.task_grants_bytes,control.tasks,control.tasks_active,control.tasks_archived,control.tasks_awaiting_approval,control.tasks_awaiting_submission,control.tasks_bytes,control.temp_bytes,control.xact_commit,control.xact_rollback,oa.drafts_inferred_control_task_lower_bound,oa.process_rss_bytes,oa.process_threads,oa.process_virtual_bytes
11,2026-08-20T08:06:15.396476617Z,9075506.000000,64329.000000,16384.000000,10.000000,16384.000000,10.000000,0.000000,0.000000,10.000000,5.000000,40.000000,0.000000,0.000000,10.000000,1303.000000,13030.000000,176991584.000000,4882.000000,1.000000,0.000000,0.000000,0.000000,1254.000000,2138112.000000,5732.000000,7987200.000000,5732.000000,2831039.000000,512.000000,1254.000000,393216.000000,0.000000,0.000000,4.000000,0.000000,1254.000000,9.000000,4472.000000,3774.000000,1165791.000000,5732.000000,1913.000000,7468301.000000,3167.000000,957.000000,1254.000000,608.000000,153985.000000,6982.000000,6982.000000,627.000000,21.000000,4743.000000,21346.000000,28297.000000,627.000000,40.000000,8839.000000,627.000000,1687552.000000,627.000000,627.000000,0.000000,0.000000,0.000000,1941504.000000,0.000000,46984.000000,662.000000,627.000000,18751488.000000,18.000000,2553487360.000000
12,2026-08-20T08:06:45.424584096Z,9075938.000000,64329.000000,16384.000000,10.000000,16384.000000,10.000000,0.000000,0.000000,10.000000,5.000000,40.000000,0.000000,0.000000,10.000000,1304.000000,13040.000000,176991584.000000,4897.000000,1.000000,0.000000,0.000000,0.000000,1254.000000,2138112.000000,5732.000000,7987200.000000,5732.000000,3224719.000000,512.000000,1254.000000,393216.000000,0.000000,0.000000,5.000000,0.000000,1254.000000,9.000000,4472.000000,4157.000000,1460724.000000,5732.000000,2233.000000,9302541.000000,3167.000000,957.000000,1254.000000,609.000000,155239.000000,6982.000000,6982.000000,627.000000,22.000000,5370.000000,21417.000000,30114.000000,627.000000,41.000000,9466.000000,627.000000,1687552.000000,627.000000,627.000000,0.000000,0.000000,0.000000,1941504.000000,0.000000,49303.000000,662.000000,627.000000,18751488.000000,18.000000,2553487360.000000
13,2026-08-20T08:07:15.39601799Z,9076276.000000,64329.000000,16384.000000,10.000000,16384.000000,10.000000,0.000000,0.000000,10.000000,5.000000,40.000000,0.000000,0.000000,10.000000,1305.000000,13050.000000,176991584.000000,4910.000000,1.000000,0.000000,0.000000,0.000000,1254.000000,2138112.000000,5732.000000,7987200.000000,5732.000000,3564038.000000,512.000000,1254.000000,393216.000000,0.000000,0.000000,6.000000,0.000000,1254.000000,9.000000,4472.000000,4470.000000,1733638.000000,5732.000000,2493.000000,10792861.000000,3167.000000,957.000000,1254.000000,610.000000,156493.000000,6982.000000,6982.000000,627.000000,23.000000,5997.000000,21478.000000,32420.000000,627.000000,41.000000,9466.000000,627.000000,1687552.000000,627.000000,627.000000,0.000000,0.000000,0.000000,1941504.000000,0.000000,51200.000000,662.000000,627.000000,18751488.000000,18.000000,2553487360.000000
14,2026-08-20T08:07:45.425275583Z,9076677.000000,64329.000000,16384.000000,10.000000,16384.000000,10.000000,0.000000,0.000000,10.000000,5.000000,40.000000,0.000000,0.000000,10.000000,1306.000000,13060.000000,176991584.000000,4924.000000,1.000000,0.000000,0.000000,0.000000,1254.000000,2138112.000000,5732.000000,7987200.000000,5732.000000,3893000.000000,512.000000,1254.000000,393216.000000,0.000000,0.000000,7.000000,0.000000,1254.000000,9.000000,4472.000000,4753.000000,2019449.000000,5732.000000,2728.000000,12139881.000000,3167.000000,957.000000,1254.000000,611.000000,157747.000000,6982.000000,6982.000000,627.000000,24.000000,6624.000000,21534.000000,34721.000000,627.000000,41.000000,9466.000000,627.000000,1687552.000000,627.000000,627.000000,0.000000,0.000000,0.000000,1941504.000000,0.000000,52920.000000,662.000000,627.000000,18751488.000000,18.000000,2553487360.000000
15,2026-08-20T08:08:15.395950071Z,9077015.000000,64329.000000,16384.000000,10.000000,16384.000000,10.000000,0.000000,0.000000,10.000000,5.000000,40.000000,0.000000,0.000000,10.000000,1307.000000,13070.000000,176991584.000000,4937.000000,1.000000,0.000000,0.000000,0.000000,1254.000000,2138112.000000,5732.000000,7987200.000000,5732.000000,4360294.000000,512.000000,1254.000000,393216.000000,0.000000,0.000000,8.000000,0.000000,1254.000000,9.000000,4472.000000,5300.000000,2275788.000000,5732.000000,3183.000000,14747941.000000,3167.000000,957.000000,1254.000000,612.000000,159001.000000,6982.000000,6982.000000,627.000000,25.000000,7251.000000,21635.000000,37067.000000,627.000000,41.000000,9466.000000,627.000000,1687552.000000,627.000000,627.000000,0.000000,0.000000,0.000000,1941504.000000,0.000000,56228.000000,662.000000,627.000000,18227200.000000,18.000000,2553487360.000000
16,2026-08-20T08:08:45.426653351Z,9084185.000000,64329.000000,16384.000000,10.000000,16384.000000,10.000000,0.000000,0.000000,10.000000,5.000000,40.000000,0.000000,0.000000,10.000000,1310.000000,13100.000000,176991584.000000,5348.000000,1.000000,0.000000,0.000000,0.000000,1522.000000,2572288.000000,6137.000000,8388608.000000,6137.000000,4435659.000000,512.000000,1522.000000,475136.000000,0.000000,0.000000,9.000000,359.000000,1519.000000,9.000000,4472.000000,5341.000000,2286832.000000,6132.000000,3215.000000,14931371.000000,3962.000000,1222.000000,1525.000000,613.000000,160523.000000,7511.000000,7511.000000,759.000000,26.000000,8012.000000,24302.000000,42068.000000,762.000000,43.000000,10988.000000,761.000000,2031616.000000,761.000000,761.000000,0.000000,0.000000,0.000000,2293760.000000,0.000000,60331.000000,664.000000,761.000000,21581824.000000,18.000000,2553487360.000000
17,2026-08-20T08:09:15.397758113Z,9091663.000000,64329.000000,16384.000000,10.000000,16384.000000,10.000000,0.000000,0.000000,10.000000,5.000000,40.000000,0.000000,0.000000,10.000000,1311.000000,13110.000000,176991584.000000,5782.000000,1.000000,0.000000,0.000000,0.000000,1797.000000,3047424.000000,6550.000000,8904704.000000,6550.000000,4481248.000000,512.000000,1797.000000,540672.000000,0.000000,0.000000,10.000000,993.000000,1792.000000,9.000000,4472.000000,5342.000000,2288285.000000,6542.000000,3215.000000,14931371.000000,4782.000000,1495.000000,1798.000000,614.000000,162320.000000,8054.000000,8054.000000,895.000000,27.000000,8910.000000,27041.000000,47417.000000,899.000000,45.000000,12786.000000,898.000000,2367488.000000,899.000000,898.000000,0.000000,1.000000,0.000000,2695168.000000,0.000000,64317.000000,664.000000,899.000000,22982656.000000,18.000000,2553487360.000000
18,2026-08-20T08:09:45.427120645Z,9098929.000000,64329.000000,16384.000000,10.000000,16384.000000,10.000000,0.000000,0.000000,10.000000,5.000000,40.000000,0.000000,0.000000,10.000000,1312.000000,13120.000000,176991584.000000,6199.000000,2.000000,0.000000,0.000000,0.000000,2071.000000,3481600.000000,6961.000000,9379840.000000,6961.000000,4534538.000000,512.000000,2071.000000,606208.000000,0.000000,0.000000,10.000000,993.000000,2072.000000,10.000000,6543.000000,5343.000000,2290313.000000,6962.000000,3215.000000,14931371.000000,5600.000000,1768.000000,2072.000000,615.000000,164391.000000,8608.000000,8608.000000,1036.000000,28.000000,9945.000000,29782.000000,53911.000000,1037.000000,45.000000,12786.000000,1035.000000,2703360.000000,1036.000000,1035.000000,0.000000,1.000000,0.000000,2957312.000000,0.000000,68322.000000,664.000000,1036.000000,24145920.000000,18.000000,2553487360.000000
19,2026-08-20T08:10:15.399940697Z,9130035.000000,64329.000000,16384.000000,10.000000,16384.000000,10.000000,0.000000,0.000000,10.000000,5.000000,40.000000,0.000000,0.000000,10.000000,1805.000000,18050.000000,176991584.000000,7475.000000,5.000000,1.000000,1.000000,1.000000,2256.000000,3768320.000000,8852.000000,12058624.000000,8852.000000,4888616.000000,512.000000,2256.000000,647168.000000,0.000000,1.000000,10.000000,993.000000,2263.000000,11.000000,8799.000000,5859.000000,2294914.000000,8752.000000,3230.000000,15040121.000000,6173.000000,1959.000000,2263.000000,616.000000,166647.000000,10779.000000,10779.000000,1132.000000,29.000000,11073.000000,35020.000000,65359.000000,1132.000000,45.000000,12786.000000,1128.000000,2940928.000000,1128.000000,1128.000000,0.000000,0.000000,0.000000,3227648.000000,0.000000,76786.000000,921.000000,1128.000000,25194496.000000,18.000000,2553487360.000000
20,2026-08-20T08:10:45.420434271Z,9157962.000000,64329.000000,16384.000000,10.000000,16384.000000,10.000000,0.000000,0.000000,10.000000,5.000000,40.000000,0.000000,0.000000,10.000000,2320.000000,23200.000000,176991584.000000,8534.000000,1.000000,0.000000,0.000000,0.000000,2256.000000,3768320.000000,10256.000000,14057472.000000,10256.000000,5689734.000000,512.000000,2256.000000,647168.000000,0.000000,0.000000,10.000000,993.000000,2256.000000,12.000000,11055.000000,6916.000000,2484512.000000,10326.000000,3545.000000,18270761.000000,6173.000000,1959.000000,2256.000000,617.000000,168903.000000,12509.000000,12509.000000,1128.000000,30.000000,12201.000000,38319.000000,68907.000000,1128.000000,49.000000,17298.000000,1128.000000,2949120.000000,1128.000000,1128.000000,0.000000,0.000000,0.000000,3227648.000000,0.000000,84530.000000,1170.000000,1128.000000,25194496.000000,18.000000,2553487360.000000
